iter	Passed	Remaining
0	49	49065
1	50	25300
2	52	17318
3	53	13214
4	56	11266
5	82	13670
6	83	11893
7	87	10903
8	91	10032
9	94	9391
10	96	8696
11	98	8142
12	100	7667
13	103	7287
14	107	7089
15	110	6787
16	128	7415
17	131	7156
18	132	6866
19	135	6615
20	137	6407
21	147	6537
22	154	6578
23	167	6811
24	169	6616
25	171	6433
26	190	6860
27	193	6700
28	217	7285
29	219	7099
30	221	6911
31	223	6771
32	226	6635
33	227	6466
34	230	6351
35	233	6256
36	236	6158
37	239	6069
38	242	5972
39	243	5845
40	246	5757
41	277	6329
42	281	6264
43	296	6446
44	304	6457
45	308	6397
46	337	6834
47	377	7487
48	380	7390
49	382	7271
50	385	7180
51	390	7118
52	394	7042
53	397	6961
54	408	7023
55	412	6945
56	424	7016
57	425	6913
58	428	6839
59	431	6754
60	432	6657
61	434	6570
62	435	6478
63	437	6395
64	438	6310
65	440	6231
66	442	6165
67	445	6110
68	448	6051
69	452	6013
70	457	5986
71	478	6171
72	482	6130
73	516	6467
74	519	6405
75	521	6342
76	523	6271
77	524	6205
78	527	6152
79	534	6149
80	536	6088
81	538	6029
82	541	5979
83	553	6032
84	554	5972
85	556	5909
86	565	5935
87	586	6073
88	589	6030
89	610	6173
90	613	6128
91	615	6079
92	641	6255
93	670	6461
94	674	6423
95	677	6377
96	679	6329
97	681	6269
98	682	6209
99	685	6169
100	688	6129
101	691	6086
102	696	6065
103	698	6014
104	715	6098
105	717	6050
106	720	6014
107	748	6177
108	749	6129
109	752	6086
110	754	6043
111	756	5996
112	757	5947
113	759	5903
114	776	5978
115	781	5955
116	784	5923
117	800	5983
118	803	5949
119	811	5948
120	812	5904
121	814	5860
122	821	5858
123	825	5833
124	829	5803
125	839	5824
126	841	5786
127	843	5745
128	846	5713
129	850	5689
130	853	5662
131	864	5686
132	867	5655
133	870	5623
134	872	5589
135	874	5558
136	879	5539
137	883	5517
138	885	5485
139	887	5452
140	888	5414
141	889	5376
142	890	5338
143	891	5301
144	894	5276
145	896	5245
146	898	5212
147	899	5179
148	901	5149
149	902	5115
150	903	5081
151	905	5051
152	906	5021
153	907	4985
154	910	4966
155	913	4940
156	914	4912
157	917	4887
158	918	4859
159	920	4831
160	921	4804
161	923	4777
162	926	4755
163	928	4731
164	929	4704
165	931	4679
166	940	4691
167	942	4667
168	945	4646
169	949	4635
170	961	4662
171	964	4640
172	968	4628
173	990	4702
174	992	4680
175	1001	4688
176	1007	4684
177	1018	4702
178	1026	4710
179	1029	4689
180	1048	4745
181	1052	4730
182	1061	4738
183	1080	4793
184	1083	4775
185	1092	4781
186	1094	4758
187	1095	4732
188	1096	4706
189	1098	4681
190	1099	4656
191	1100	4631
192	1101	4606
193	1103	4582
194	1104	4560
195	1105	4536
196	1107	4515
197	1109	4492
198	1110	4469
199	1111	4447
200	1113	4426
201	1116	4409
202	1117	4388
203	1122	4378
204	1123	4358
205	1125	4338
206	1126	4317
207	1129	4300
208	1131	4281
209	1144	4304
210	1145	4284
211	1147	4266
212	1149	4246
213	1150	4226
214	1151	4205
215	1155	4192
216	1158	4179
217	1161	4165
218	1163	4148
219	1167	4138
220	1171	4130
221	1175	4119
222	1178	4105
223	1179	4087
224	1181	4069
225	1183	4052
226	1187	4043
227	1191	4034
228	1206	4061
229	1209	4047
230	1214	4042
231	1219	4036
232	1233	4060
233	1235	4043
234	1236	4025
235	1238	4008
236	1240	3993
237	1242	3979
238	1244	3962
